评估资产,文化程度,人均工资,月末合计,货币资金,应收票据,存货,固定资产,总资产,借款,应付票据,应交税金,实收资本,负债及权益,应收帐款,预付账款,应付账款,收入,成本税金,期间费用,外收净额,所得税,净利润,毛利率,净利率,个人保证,企业保证,房产抵押,知识产权质押,应收账款质押,营运资金,净资产,资产负债率,流动比率,速动比率,长期资产适宜率,齿轮比率,年营业收入,销售利润率,净资产回报率,利息保障倍数,净资产增长率,销售收入增长率,利润增长率,利润增长额,报告编号
1.0,4.0,7050.5,2949.0,3896.0,0.0,23.0,154.0,20129.0,1704.0,0.0,-11.0,1000.0,20129.0,14931.0,235.0,6869.0,63556.0,56819.0,2169.0,7.0,23.0,4551.0,0.11,0.07,1.0,0.0,1.0,0.0,0.0,10375.0,10284.0,0.48,2.18,2.17,17.29,0.16,63556.0,0.07,0.57,22.07,0.87,1.86,4.29,3690.0,088502102
0.0,3.0,13334.97,376.0,2725.0,0.0,584.0,501.0,11673.0,1270.0,0.0,100.0,2100.0,11673.0,6491.0,0.0,6156.0,15107.0,12094.0,2479.0,1.0,36.0,575.0,0.2,0.04,1.0,0.0,0.0,0.8462543190414205,1.0,2657.0,2713.0,0.75,1.32,1.25,6.66,0.44,15107.0,0.04,0.32,25.89,3.08,0.18,-0.27,-215.0,088752201
1.0,2.0,9000.0,1408.0,5283.0,553.0,18870.0,484.0,70117.0,9140.0,0.0,413.0,16388.0,70117.0,31568.0,7011.295489359003,15951.0,109859.0,104003.0,2770.0,-24.0,699.0,2363.0,0.06,0.02,1.0,0.0,1.0,0.8462543190414205,0.0,42254.0,43895.0,0.37,2.61,1.89,26.74,0.21,109859.0,0.02,0.06,5.67,0.25,0.5,0.54,824.0,089132203
1.0,4.0,6298.0,406.0,685.0,653.0,3.0,187.0,20812.0,2248.0,0.0,18.0,3280.0,20812.0,13546.0,330.0,978.0,16509.0,13945.0,1792.0,-16.0,56.0,700.0,0.16,0.04,1.0,0.0,1.0,0.0,0.0,13574.0,13987.0,0.33,2.99,2.99,35.39,0.16,16509.0,0.04,0.05,7.26,0.05,0.02,-0.19,-166.0,095212201
1.0,4.0,7008.0,229.0,168.0,90.0,4349.0,1357.0,12411.0,990.0,0.0,222.0,800.0,12411.0,5680.0,376.0,4699.0,32150.0,29147.0,2038.0,143.0,15.0,1197.0,0.09,0.04,1.0,0.0,0.0,0.0,1.0,2409.0,3085.0,0.75,1.28,0.77,2.67,0.32,32150.0,0.04,0.48,0.0,0.63,0.72,3.34,921.0,100372201
0.0,4.0,8490.0,540.0,405.0,1586.0,2437.0,140.0,7840.0,1525.0,0.0,57.0,1400.0,7840.0,1823.0,1050.0,2095.0,7105.0,5289.0,1522.0,-2.0,0.0,355.0,0.26,0.05,1.0,0.0,0.0,0.0,1.0,2707.0,3954.0,0.5,1.7,1.07,3.17,0.39,7105.0,0.05,0.09,6.75,0.12,0.17,-0.12,-51.0,101682201
1.0,4.0,16146.0,4074.3,3375.0,83.0,27258.0,312.0,57075.0,280.0,0.0,664.0,5000.0,57075.0,24021.0,368.0,27445.0,122980.0,108405.0,6689.0,651.0,884.0,7499.0,0.12,0.06,1.0,0.0,0.0,0.0,0.0,16620.0,17461.0,0.69,1.42,0.73,55.98,0.02,122980.0,0.06,0.54,62.78,0.66,0.53,-0.29,-3122.0,101892201
0.0,4.0,11577.59,1602.0,79.0,0.0,60.0,15.0,533.0,0.0,0.0,-21.0,1600.0,533.0,13.0,20.0,76.0,4.0,2.0,909.0,0.0,0.0,-907.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3270.0,4807.0,0.21,3.89,2.89,3.05,0.0,3121.0,0.13,0.08,24.06,0.08,-0.06,0.17,57.0,102002201
1.0,5.0,6488.0,9521.917137054188,20520.85630846215,1174.0,6540.0,5656.0,53346.0,2939.0,2320.0,216.0,8384.0,53346.0,7075.0,852.0,1500.0,15253.0,11959.0,2601.0,-39.0,124.0,818.0,0.22,0.05,1.0,1.0,0.0,0.8462543190414205,0.0,31525.0,43953.0,0.13,6.41,5.57,3.53,0.06,13672.0,0.09,0.04,0.0,1.4,0.33,0.45,373.0,103262201
1.0,5.0,8196.0,1897.0,3217.0,138.0,6008.0,5906.0,42470.0,9628.0,1983.0,116.0,4500.0,42470.0,13668.0,266.0,5784.0,30497.0,22581.0,4728.0,182.0,187.0,3180.0,0.26,0.1,1.0,1.0,0.0,0.0,0.0,15490.0,22620.0,0.47,1.82,1.5,3.04,0.51,30497.0,0.1,0.15,6.25,0.15,0.07,0.14,387.0,103842202
1.0,3.0,7590.0,2346.5,1415.0,569.0,1657.0,13.0,7618.0,300.0,0.0,-66.0,1000.0,7618.0,2320.0,24.0,1570.0,19206.0,17559.0,824.0,-2.0,23.0,5135.0,0.09,0.27,1.0,0.0,1.0,0.0,0.0,984.0,997.0,0.85,1.18,1.06,74.16,0.3,19206.0,0.27,1.28,660.6,-0.86,-0.63,1.22,2820.0,104242202
1.0,3.0,5470.0,262.0,749.0,0.0,2206.0,347.0,5201.0,825.0,435.0,48.0,185.0,5201.0,1089.0,27.0,1469.0,6747.0,5764.0,536.0,43.0,0.0,491.0,0.15,0.07,1.0,1.0,1.0,0.0,0.0,2221.0,2173.0,0.58,1.85,1.01,7.58,0.57,6747.0,0.07,0.23,44.08,0.06,0.69,1.85,319.0,104812201
0.0,4.0,9006.0,3011.0,3236.0,42.0,2469.0,59.0,9823.0,110.0,0.0,87.0,556.0,9823.0,3269.0,1.0,1462.0,3999.0,1831.0,1294.0,38.0,130.0,784.0,0.56,0.2,1.0,0.0,0.0,0.0,0.0,6577.0,6655.0,0.32,3.08,2.3,112.67,0.02,3999.0,0.2,0.13,30.97,0.31,0.21,0.08,57.0,106002101
0.0,5.0,6590.0,899.0,2798.0,7.0,4100.0,6958.0,19440.0,5129.0,0.0,-153.0,3000.0,19440.0,2129.0,743.0,2193.0,19130.0,12412.0,4688.0,366.0,307.0,2117.0,0.36,0.11,1.0,1.0,0.0,0.0,0.0,6793.0,8869.0,0.58,1.57,1.05,4.31,0.41,14657.0,0.13,0.23,11.42,0.24,-0.18,-0.34,-935.0,106482201
